"caseid"	"degree"	"satfin"
741	"Lt High School"	"Satisfied"
742	"High School"	"More Or Less"
743	"High School"	"Not At All Sat"
744	"High School"	"More Or Less"
745	"High School"	"Not At All Sat"
746	"Lt High School"	"Satisfied"
747	"High School"	"More Or Less"
748	"High School"	"More Or Less"
749	"Lt High School"	"More Or Less"
750	"Lt High School"	"More Or Less"
752	"Lt High School"	"Satisfied"
753	"High School"	"More Or Less"
754	"Lt High School"	"More Or Less"
755	"Lt High School"	"More Or Less"
756	"Lt High School"	"Satisfied"
757	"High School"	"More Or Less"
758	"Lt High School"	"Not At All Sat"
759	"High School"	"More Or Less"
760	"Lt High School"	"More Or Less"
761	"High School"	"Not At All Sat"
762	"High School"	"More Or Less"
763	"High School"	"More Or Less"
764	"High School"	"Not At All Sat"
765	"High School"	"More Or Less"
766	"High School"	"Satisfied"
767	"Lt High School"	"Not At All Sat"
768	"Lt High School"	"Not At All Sat"
769	"High School"	"Not At All Sat"
770	"Lt High School"	"Satisfied"
771	"Lt High School"	"Satisfied"
772	"High School"	"More Or Less"
773	"High School"	"More Or Less"
774	"Lt High School"	"More Or Less"
775	"Bachelor"	"Not At All Sat"
776	"High School"	"Satisfied"
777	"High School"	"Not At All Sat"
778	"Lt High School"	"Satisfied"
779	"Lt High School"	"Satisfied"
780	"Bachelor"	"Not At All Sat"
781	"High School"	"More Or Less"
782	"High School"	"Not At All Sat"
783	"High School"	"More Or Less"
784	"Lt High School"	"More Or Less"
785	"High School"	"Not At All Sat"
786	"High School"	"Satisfied"
787	"High School"	"Not At All Sat"
788	"Lt High School"	"Satisfied"
789	"High School"	"More Or Less"
790	"Lt High School"	"Satisfied"
791	"High School"	"More Or Less"
792	"High School"	"Not At All Sat"
793	"High School"	"More Or Less"
794	"High School"	"More Or Less"
795	"Graduate"	"More Or Less"
796	"Bachelor"	"Satisfied"
797	"Graduate"	"More Or Less"
798	"High School"	"More Or Less"
799	"High School"	"Satisfied"
800	"High School"	"Satisfied"
801	"High School"	"Satisfied"
802	"High School"	"Satisfied"
804	"High School"	"Satisfied"
805	"High School"	"Satisfied"
806	"High School"	"Satisfied"
807	"Lt High School"	"Satisfied"
808	"High School"	"Satisfied"
810	"Junior College"	"Satisfied"
811	"High School"	"Satisfied"
812	"Lt High School"	"More Or Less"
813	"High School"	"More Or Less"
814	"High School"	"Satisfied"
815	"High School"	"More Or Less"
816	"High School"	"Not At All Sat"
817	"High School"	"Satisfied"
818	"Lt High School"	"Satisfied"
819	"Lt High School"	"More Or Less"
820	"Lt High School"	"Not At All Sat"
821	"Lt High School"	"Not At All Sat"
822	"High School"	"More Or Less"
823	"Lt High School"	"Satisfied"
824	"Lt High School"	"Satisfied"
825	"High School"	"Not At All Sat"
826	"Lt High School"	"More Or Less"
827	"Lt High School"	"More Or Less"
828	"High School"	"More Or Less"
829	"High School"	"More Or Less"
830	"Junior College"	"Satisfied"
831	"Junior College"	"Satisfied"
832	"High School"	"Not At All Sat"
833	"Bachelor"	"Not At All Sat"
834	"Bachelor"	"More Or Less"
835	"High School"	"Not At All Sat"
836	"Lt High School"	"Satisfied"
837	"Lt High School"	"Satisfied"
838	"Lt High School"	"More Or Less"
